E001,01/01/2026,8
E002,01/01/2026,6
E003,01/01/2026,4
E004,01/01/2026,8
E005,01/01/2026,5
E007,01/01/2026,8
E001,02/01/2026,7
E002,02/01/2026,5
E003,02/01/2026,4
E004,02/01/2026,8
E005,02/01/2026,5
E007,02/01/2026,8
E001,03/01/2026,8
E002,03/01/2026,6
E003,03/01/2026,4
E004,03/01/2026,8
E005,03/01/2026,5
E007,03/01/2026,7
E001,04/01/2026,8
E002,04/01/2026,5
E003,04/01/2026,4
E004,04/01/2026,8
E005,04/01/2026,5
E007,04/01/2026,8
E001,05/01/2026,8
E002,05/01/2026,6
E003,05/01/2026,4
E004,05/01/2026,8
E005,05/01/2026,5
E007,05/01/2026,7
E001,06/01/2026,7
E002,06/01/2026,5
E003,06/01/2026,4
E004,06/01/2026,8
E005,06/01/2026,5
E007,06/01/2026,8
E001,07/01/2026,8
E002,07/01/2026,6
E003,07/01/2026,4
E004,07/01/2026,8
E005,07/01/2026,5
E007,07/01/2026,7
E001,08/01/2026,7
E002,08/01/2026,5
E003,08/01/2026,4
E004,08/01/2026,8
E005,08/01/2026,5
E007,08/01/2026,8
E001,09/01/2026,8
E002,09/01/2026,6
E003,09/01/2026,4
E004,09/01/2026,8
E005,09/01/2026,5
E007,09/01/2026,7
E001,10/01/2026,7
E002,10/01/2026,5
E003,10/01/2026,4
E004,10/01/2026,8
E005,10/01/2026,5
E007,10/01/2026,8
E001,11/01/2026,8
E002,11/01/2026,6
E003,11/01/2026,4
E004,11/01/2026,8
E005,11/01/2026,5
E007,11/01/2026,7
E001,12/01/2026,7
E002,12/01/2026,5
E003,12/01/2026,4
E004,12/01/2026,8
E005,12/01/2026,5
E007,12/01/2026,8
E001,13/01/2026,8
E002,13/01/2026,6
E003,13/01/2026,4
E004,13/01/2026,8
E005,13/01/2026,5
E007,13/01/2026,7
E001,14/01/2026,7
E002,14/01/2026,5
E003,14/01/2026,4
E004,14/01/2026,8
E005,14/01/2026,5
E007,14/01/2026,8
E001,15/01/2026,8
E002,15/01/2026,6
E003,15/01/2026,4
E004,15/01/2026,8
E005,15/01/2026,5
E007,15/01/2026,7
E003,07/01/2026,4
E004,07/01/2026,8
E005,07/01/2026,5
E007,07/01/2026,7
E001,08/01/2026,7
E002,08/01/2026,5
E003,08/01/2026,4
E004,08/01/2026,8
E005,08/01/2026,5
E007,08/01/2026,8
