E001,01/01/2026,8
E002,01/01/2026,5
E003,01/01/2026,4
E004,01/01/2026,8
E005,01/01/2026,5
E006,01/01/2026,4
E007,02/01/2026,8
E008,02/01/2026,5
E009,02/01/2026,4
E010,02/01/2026,8
E011,02/01/2026,5
E012,02/01/2026,4
E013,03/01/2026,8
E014,03/01/2026,5
E015,03/01/2026,4
E016,03/01/2026,8
E017,03/01/2026,5
E018,03/01/2026,4
E019,04/01/2026,8
E020,04/01/2026,5
E021,04/01/2026,4
E022,04/01/2026,8
E023,04/01/2026,5
E024,04/01/2026,4
E025,05/01/2026,8
E026,05/01/2026,5
E027,05/01/2026,4
E028,05/01/2026,8
E029,05/01/2026,5
E030,05/01/2026,4
E031,06/01/2026,8
E032,06/01/2026,5
E033,06/01/2026,4
E034,06/01/2026,8
E035,06/01/2026,5
E036,06/01/2026,4
E037,07/01/2026,8
E038,07/01/2026,5
E039,07/01/2026,4
E040,07/01/2026,8
E041,07/01/2026,5
E042,07/01/2026,4
E043,08/01/2026,8
E044,08/01/2026,5
E045,08/01/2026,4
E046,08/01/2026,8
E047,08/01/2026,5
E048,08/01/2026,4
E049,09/01/2026,8
E050,09/01/2026,5
E051,09/01/2026,4
E052,09/01/2026,8
E053,09/01/2026,5
E054,09/01/2026,4
E055,10/01/2026,8
E056,10/01/2026,5
E057,10/01/2026,4
E058,10/01/2026,8
E059,10/01/2026,5
E060,10/01/2026,4
E061,11/01/2026,8
E062,11/01/2026,5
E063,11/01/2026,4
E064,11/01/2026,8
E065,11/01/2026,5
E066,11/01/2026,4
E067,12/01/2026,8
E068,12/01/2026,5
E069,12/01/2026,4
E070,12/01/2026,8
E071,12/01/2026,5
E072,12/01/2026,4
E073,13/01/2026,8
E074,13/01/2026,5
E075,13/01/2026,4
E076,13/01/2026,8
E077,13/01/2026,5
E078,13/01/2026,4
E079,14/01/2026,8
E080,14/01/2026,5
E081,14/01/2026,4
E082,14/01/2026,8
E083,14/01/2026,5
E084,14/01/2026,4
E085,15/01/2026,8
E086,15/01/2026,5
E087,15/01/2026,4
E088,15/01/2026,8
E089,15/01/2026,5
E090,15/01/2026,4
